Unnamed: 0,year,Observed Max Temp,Observed Min Temp,Max Observed Precipitation,month,0,D0,D1,D2,D3,D4,W0,W1,W2,W3,W4,Max Wind Speed,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,Shape__Area,Shape__Length,Damage Inspection Date,Damage,Structure Type,# Units in Structure (if multi unit),Latitude,Longitude,Fuel Moisture Date,PERCENT
92,2003,73.82855988,52.83791733,14.99463983,10/1/03,0.0,0.0,0.0,0.0,0.0,0.0,100.1,77.6,9.5,0.0,0.0,,217933,10/21/03,10/21/03,3.0,68.41597,405757.8008,3158.037434,inaccessible,inaccessible,unknown,1.0,,,10/8/03,70.0
93,2003,73.82855988,52.83791733,14.99463983,10/1/03,0.0,0.0,0.0,0.0,0.0,0.0,100.1,77.6,9.5,0.0,0.0,,217933,10/21/03,10/21/03,3.0,68.41597,405757.8008,3158.037434,inaccessible,inaccessible,unknown,1.0,,,10/22/03,69.0
94,2003,73.82855988,52.83791733,14.99463983,11/1/03,63.9,0.0,0.0,0.0,0.0,0.0,36.1,8.2,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,11/5/03,68.0
95,2003,73.82855988,52.83791733,14.99463983,11/1/03,63.9,0.0,0.0,0.0,0.0,0.0,36.1,8.2,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,11/19/03,68.0
96,2003,73.82855988,52.83791733,14.99463983,12/1/03,98.1,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,12/3/03,68.0
97,2003,73.82855988,52.83791733,14.99463983,12/1/03,98.1,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,12/17/03,65.0
98,2004,73.53636932,52.70264816,20.40395371,1/1/04,1.1,98.9,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,1/8/04,74.0
99,2004,73.53636932,52.70264816,20.40395371,1/1/04,1.1,98.9,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,1/23/04,80.0
100,2004,73.53636932,52.70264816,20.40395371,2/1/04,83.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.76127424,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,2/13/04,85.0
101,2004,73.53636932,52.70264816,20.40395371,3/1/04,16.9,83.1,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.17404166,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,3/5/04,112.0
102,2004,73.53636932,52.70264816,20.40395371,3/1/04,16.9,83.1,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.17404166,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,3/25/04,180.0
103,2004,73.53636932,52.70264816,20.40395371,4/1/04,6.8,93.1,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,4/8/04,153.0
104,2004,73.53636932,52.70264816,20.40395371,4/1/04,6.8,93.1,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,4/23/04,145.0
105,2004,73.53636932,52.70264816,20.40395371,5/1/04,3.0,97.0,73.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90871,5/3/04,5/4/04,9.0,90.6327,540784.4531,5679.53093,inaccessible,inaccessible,unknown,1.0,,,5/6/04,123.0
