station,"Weather Station at Los Angeles International Airport, Los Angeles (LAX), California"
variable,Maximum Wind Speed
units,mph
record high,"34.7 on February 22, 1987"
record low,"6.9 on February 21, 2009"

date,value
2019-03-01T05:00Z,14.9874725342
2019-03-02T05:00Z,14.9874725342
2019-03-03T05:00Z,17.2244091034
2019-03-04T05:00Z,17.2244091034
2019-03-05T05:00Z,14.9874725342
2019-03-06T05:00Z,18.3428783417
2019-03-07T05:00Z,28.8564777374
2019-03-08T05:00Z,18.3428783417
2019-03-09T05:00Z,14.9874725342
2019-03-10T05:00Z,13.8690052032
2019-03-11T04:00Z,28.8564777374
2020-02-20T05:00Z,12.7505369186
2020-02-21T05:00Z,13.8690052032
2020-02-22T05:00Z,13.8690052032
2020-02-23T05:00Z,13.8690052032
2020-02-24T05:00Z,12.7505369186
2020-02-25T05:00Z,14.9874725342
2020-02-26T05:00Z,10.2899065018
2020-02-27T05:00Z,11.4083747864
2020-02-28T05:00Z,16.1059417725
2020-02-29T05:00Z,19.6850395203
2020-03-01T05:00Z,18.3428783417
2020-03-02T05:00Z,14.9874725342
2020-03-03T05:00Z,16.1059417725
2020-03-04T05:00Z,16.1059417725
2020-03-05T05:00Z,14.9874725342
2020-03-06T05:00Z,14.9874725342
2020-03-07T05:00Z,13.8690052032
2020-03-08T05:00Z,17.2244091034
2020-03-09T04:00Z,14.9874725342
2020-03-10T04:00Z,13.8690052032
2020-03-11T04:00Z,21.9219760895
